Date,Open,High,Low,Close,Volume,trade_value
2017/3/23,123.67,124.29,123.52,123.78,232038,8719.9
2017/3/24,123.87,124.31,123.4,123.91,135157,7768.4
2017/3/27,123.9,124.45,123.77,124.16,129427,5537.3
2017/3/28,124.56,124.85,123.36,123.93,176002,7983.3
2017/3/29,123.99,124.56,123.26,123.33,121960,5492.2
2017/3/30,123.63,123.82,123.18,123.43,132160,5851.4
2017/3/31,123.78,123.98,122.53,122.8,149816,7668.2
2017/4/5,122.89,123.96,122.89,123.96,147748,7585.0
2017/4/6,124.02,124.39,123.36,124.17,103314,5348.1
2017/4/7,124.03,124.71,123.49,124.7,124511,6491.9
2017/4/10,124.55,124.74,123.85,123.85,96332,4500.4
2017/4/11,123.89,124.41,123.4,123.47,109950,5320.7
2017/4/12,123.51,123.83,122.66,123.11,105392,4920.6
2017/4/13,123.11,123.73,123.0,123.24,86810,4404.4
2017/4/14,123.19,123.5,122.58,122.58,94508,4446.1
2017/4/17,122.6,123.22,122.13,123.17,82913,4595.2
2017/4/18,123.27,123.46,122.53,123.1,75480,3981.1
2017/4/19,122.78,122.96,121.16,121.37,98316,5467.1
2017/4/20,121.39,121.84,120.89,120.89,84462,4806.3
2017/4/21,121.26,121.87,121.2,121.54,83768,4418.6
2017/4/24,121.59,122.21,120.98,121.25,73114,3692.3
2017/4/25,121.31,122.13,121.23,122.12,84549,4500.3
2017/4/26,122.16,122.6,121.87,122.27,108831,6187.4
2017/4/27,122.28,122.76,121.97,122.4,154462,9388.8
2017/4/28,122.49,122.79,122.08,122.08,138578,8474.3
2017/5/2,122.46,123.3,122.25,122.66,124033,8077.5
2017/5/3,122.67,123.53,122.65,123.22,127872,6876.6
2017/5/4,123.28,124.22,122.7,124.22,109864,6912.8
2017/5/5,124.24,124.28,123.42,123.42,141941,6824.3
2017/5/8,123.43,124.37,123.25,124.11,137037,7473.0
2017/5/9,124.3,124.74,123.36,123.36,142688,7774.8
2017/5/10,123.5,124.76,123.5,124.04,136643,8080.1
2017/5/11,124.32,124.64,123.82,124.13,132110,8574.2
2017/5/12,124.19,125.11,124.02,124.91,113597,6849.1
2017/5/15,125.08,125.44,124.68,125.2,84563,5225.8
2017/5/16,125.3,125.64,124.46,124.96,93616,6382.7
2017/5/17,125.08,125.28,123.99,124.94,127632,7082.1
2017/5/18,124.61,125.16,124.01,125.16,110399,6059.2
2017/5/19,125.12,125.42,124.69,124.69,81531,4642.2
2017/5/22,124.73,125.2,124.61,125.14,98009,5182.3
2017/5/23,125.13,125.17,124.54,124.95,125035,6300.9
2017/5/24,125.03,125.35,124.63,124.92,116137,5343.1
2017/5/25,124.97,125.92,124.9,125.64,208228,9558.8
2017/5/26,125.67,126.09,125.0,125.51,136608,8172.8
2017/5/31,125.84,126.64,125.44,125.71,125754,7658.0
2017/6/1,126.1,126.66,126.03,126.41,106854,6211.1
2017/6/2,126.43,126.98,125.58,126.27,93016,5269.3
2017/6/3,126.35,126.53,125.84,126.15,58130,3076.6
2017/6/5,126.23,126.92,126.23,126.86,107877,6263.1
2017/6/6,126.94,127.07,126.38,126.83,83615,5024.4
2017/6/7,126.83,127.04,126.26,126.26,93630,5370.4
2017/6/8,126.54,127.05,126.45,126.76,80681,5139.4
2017/6/9,126.77,127.36,126.42,126.43,96724,5450.3
2017/6/12,126.65,127.18,126.43,126.44,106314,6236.6
2017/6/13,126.52,126.99,126.23,126.46,90117,4818.9
2017/6/14,126.47,126.96,125.65,126.08,108764,6048.2
2017/6/15,126.11,126.53,125.7,126.34,107133,5252.2
2017/6/16,125.85,126.71,125.85,126.38,124395,6158.0
2017/6/19,126.41,127.15,126.37,127.1,126995,6170.5
2017/6/20,127.17,127.52,126.92,127.18,92830,5301.5
2017/6/21,127.16,128.31,126.78,127.46,113539,6660.4
2017/6/22,127.76,128.64,127.76,128.49,150889,6574.7
2017/6/23,128.51,128.55,127.71,128.2,93792,4973.0
2017/6/26,128.2,128.75,127.92,128.71,97538,5561.1
2017/6/27,128.76,129.11,128.31,128.82,142960,6769.9
2017/6/28,128.55,129.2,128.01,128.3,102829,6223.7
