Date,Open,High,Low,Close,Volume,vol_deg_change,vol_percentile,body,upper_shadow,lower_shadow,norm_o,norm_h,norm_l,norm_c,log_rtn,kalman_log_rtn1
2019-06-22,135.45,141.29,131.0,138.28,39239097750,1.0,0.867,0.28,0.29,0.43,-0.0001,0.0422,-0.0334,0.0207,0.0206,0.00968
2019-06-23,138.3,145.9,136.01,142.26,67011219411,1.0,0.953,0.4,0.37,0.23,0.0001,0.0535,-0.0167,0.0282,0.02838,0.01164
2019-06-24,142.2,143.34,136.15,137.5,27314266174,0.0,0.738,0.65,0.16,0.19,-0.0004,0.008,-0.0435,-0.0336,-0.03403,0.00691
2019-06-25,137.5,137.52,132.65,135.77,26913708964,0.0,0.733,0.36,0.0,0.64,0.0,0.0001,-0.0359,-0.0127,-0.01266,0.00495
2019-06-26,135.78,138.63,129.75,136.33,34304231826,1.0,0.823,0.06,0.26,0.68,0.0001,0.0208,-0.0454,0.004,0.00412,0.00486
2019-06-27,136.32,138.5,127.5,132.25,65920845477,1.0,0.948,0.37,0.2,0.43,-0.0001,0.0159,-0.0669,-0.0303,-0.03038,0.00141
2019-06-28,132.24,133.5,111.82,116.01,93215803694,1.0,0.991,0.75,0.06,0.19,-0.0001,0.0095,-0.1677,-0.1309,-0.13102,-0.01062
2019-06-29,116.02,122.19,114.49,120.01,45558796464,0.0,0.906,0.52,0.28,0.2,0.0001,0.0518,-0.0133,0.0338,0.0339,-0.00673
2019-06-30,119.99,137.0,116.0,133.86,65096652780,1.0,0.943,0.66,0.15,0.19,-0.0002,0.1326,-0.0338,0.1094,0.10922,0.00415
2019-07-01,133.88,137.44,120.54,123.25,80864544775,1.0,0.979,0.63,0.21,0.16,0.0001,0.0262,-0.105,-0.0827,-0.08258,-0.0041
2019-07-02,123.22,127.03,113.82,123.17,61206325919,0.0,0.935,0.0,0.29,0.71,-0.0002,0.0305,-0.0794,-0.0004,-0.00065,-0.00378
2019-07-03,123.16,124.0,112.63,118.77,46958208700,0.0,0.908,0.39,0.07,0.54,-0.0001,0.0068,-0.0894,-0.0363,-0.03638,-0.00673
2019-07-04,118.74,123.15,116.78,121.36,36500806750,0.0,0.833,0.41,0.28,0.31,-0.0003,0.0365,-0.0166,0.0218,0.02157,-0.00418
2019-07-05,121.34,127.03,118.51,119.61,37506274273,1.0,0.838,0.2,0.67,0.13,-0.0002,0.0458,-0.0236,-0.0144,-0.01452,-0.00512
2019-07-06,119.64,120.99,116.22,118.35,22360871264,0.0,0.635,0.27,0.28,0.45,0.0003,0.0112,-0.029,-0.0108,-0.01059,-0.00561
2019-07-07,118.29,121.8,117.06,118.31,15381669797,0.0,0.399,0.0,0.74,0.26,-0.0005,0.0292,-0.0105,0.0002,-0.00034,-0.00513
2019-07-08,118.28,120.35,117.0,119.48,14237861429,0.0,0.362,0.36,0.26,0.38,-0.0003,0.0173,-0.0109,0.0101,0.00984,-0.00377
2019-07-09,119.48,125.07,117.77,122.92,21911692194,1.0,0.625,0.47,0.29,0.23,0.0,0.0457,-0.0144,0.0284,0.02838,-0.00078
2019-07-10,122.92,124.08,117.64,119.24,23344012041,1.0,0.667,0.57,0.18,0.25,0.0,0.0094,-0.0439,-0.0304,-0.0304,-0.00354
2019-07-11,119.23,120.13,102.5,108.31,50782130862,1.0,0.92,0.62,0.05,0.33,-0.0001,0.0075,-0.1512,-0.0961,-0.09614,-0.0117
2019-07-12,108.29,108.33,95.21,102.98,56691740666,1.0,0.929,0.4,0.0,0.59,-0.0002,0.0004,-0.1287,-0.0503,-0.05046,-0.01492
2019-07-13,103.0,107.02,100.65,104.86,20497752431,0.0,0.586,0.29,0.34,0.37,0.0002,0.0383,-0.0231,0.0179,0.01809,-0.01219
2019-07-14,104.86,105.03,97.64,101.03,22925296129,1.0,0.647,0.52,0.02,0.46,0.0,0.0016,-0.0713,-0.0372,-0.03721,-0.01426
2019-07-15,101.06,101.9,87.58,89.66,42959496949,1.0,0.884,0.8,0.06,0.15,0.0003,0.0083,-0.1432,-0.1197,-0.11939,-0.02249
2019-07-16,89.67,92.99,84.6,90.43,38216924803,0.0,0.845,0.09,0.31,0.6,0.0001,0.0364,-0.0582,0.0084,0.00855,-0.02015
2019-07-17,90.43,91.91,76.6,79.61,48356593207,1.0,0.91,0.71,0.1,0.2,0.0,0.0162,-0.166,-0.1274,-0.12744,-0.02798
2019-07-18,79.62,94.65,71.0,89.95,61112508258,1.0,0.935,0.44,0.2,0.36,0.0001,0.1729,-0.1146,0.122,0.12211,-0.0168
2019-07-19,89.98,104.5,86.87,101.16,60987210131,0.0,0.933,0.63,0.19,0.18,0.0003,0.1496,-0.0352,0.1171,0.11745,-0.0054
2019-07-20,101.15,101.26,94.73,98.23,36664623978,0.0,0.824,0.45,0.02,0.54,-0.0001,0.0011,-0.0656,-0.0293,-0.02939,-0.00754
2019-07-21,98.25,105.88,97.42,100.25,35592602335,0.0,0.815,0.24,0.67,0.1,0.0002,0.0748,-0.0085,0.0202,0.02036,-0.00504
2019-07-22,100.26,101.41,96.4,99.7,24712143139,0.0,0.683,0.11,0.23,0.66,0.0001,0.0114,-0.0393,-0.0056,-0.0055,-0.00509
2019-07-23,99.74,100.91,91.14,95.31,31853396014,1.0,0.77,0.45,0.12,0.43,0.0004,0.0117,-0.0902,-0.0454,-0.04503,-0.00864
2019-07-24,95.31,95.35,88.62,90.15,26451621574,0.0,0.702,0.77,0.01,0.23,0.0,0.0004,-0.0728,-0.0557,-0.05566,-0.01265
2019-07-25,90.1,97.45,86.8,94.5,35581308830,1.0,0.815,0.41,0.28,0.31,-0.0006,0.0784,-0.0373,0.0477,0.04712,-0.00752
2019-07-26,94.43,96.67,91.06,93.22,22840348379,0.0,0.632,0.22,0.4,0.39,-0.0007,0.0234,-0.0363,-0.0129,-0.01364,-0.00806
2019-07-27,93.23,94.52,89.83,94.06,16922032033,0.0,0.45,0.18,0.1,0.72,0.0001,0.0137,-0.0372,0.0089,0.00897,-0.00655
2019-07-28,94.01,96.09,86.67,88.79,25091524992,1.0,0.688,0.55,0.22,0.23,-0.0005,0.0219,-0.0813,-0.0571,-0.05766,-0.011
2019-07-29,88.83,90.9,83.13,90.0,20107577208,0.0,0.565,0.15,0.12,0.73,0.0005,0.023,-0.0663,0.0131,0.01354,-0.00889
2019-07-30,90.0,92.26,87.48,90.33,23365544074,1.0,0.655,0.07,0.4,0.53,0.0,0.0248,-0.0284,0.0037,0.00366,-0.00779
2019-07-31,90.33,92.71,88.5,90.15,16681793325,0.0,0.44,0.04,0.57,0.39,0.0,0.026,-0.0205,-0.002,-0.00199,-0.00728
2019-08-01,90.12,99.95,89.81,98.76,28044201907,1.0,0.728,0.85,0.12,0.03,-0.0003,0.1035,-0.0034,0.0916,0.09122,0.00184
2019-08-02,98.77,100.59,95.23,98.64,25662180027,0.0,0.697,0.02,0.34,0.64,0.0001,0.0183,-0.0365,-0.0013,-0.00122,0.00155
2019-08-03,98.62,98.77,92.52,94.76,28490202673,1.0,0.731,0.62,0.02,0.36,-0.0002,0.0015,-0.0638,-0.0399,-0.04013,-0.0024
2019-08-04,94.8,96.7,93.51,94.17,18744226636,0.0,0.524,0.2,0.6,0.21,0.0004,0.0198,-0.0137,-0.0067,-0.00625,-0.00276
